layer,variable,variable_data_2018,variable_data_2019
mar_capacity,methods_update,new data layer for mariculture potential in all regions,"same UN pop data, but fixed errors in inland raster"
mar_harvest_tonnes,methods_update,"additional year of data, now includes edible seaweeds",Additional year of FAO mariculture yield data (2017); and updated reference point calculation methods
mar_sustainability_score,methods_update,"additional year of data, now includes edible seaweeds",Additional year of FAO mariculture yield data (2017); and updated reference point calculation methods
np_blast,methods_update,,
np_cyanide,methods_update,,
np_harvest_product_weight,methods_update,"additional years of data, now excludes edible seaweeds",New year of FAO data (2016); adjusted model to improve stability
np_harvest_tonnes,methods_update,"additional years of data, now excludes edible seaweeds",New year of FAO data (2016); adjusted model to improve stability
np_harvest_tonnes_relative,methods_update,"additional years of data, now excludes edible seaweeds",New year of FAO data (2016); adjusted model to improve stability
po_chemicals,methods_update,,
po_chemicals_3nm,methods_update,,
po_nutrients,methods_update,,
po_nutrients_3nm,methods_update,,
po_pathogens,methods_update,Data source changed (but no additional year of data); improved gapfilling and small change to reference point,two additional years of data (2016 & 2017)
po_trash,methods_update,,
po_water,methods_update,,
res_spi,methods_update,additional year of data,
rgn_area,methods_update,,
rgn_area_inland1km,methods_update,,
rgn_area_offshore3nm,methods_update,,
rgn_global,methods_update,,
rgn_labels,methods_update,,
sp_alien,methods_update,,
sp_alien_species,methods_update,,
sp_genetic,methods_update,additional year of mariculture data,Additional year of FAO mariculture yield data (2017); and updated reference point calculation methods
species_diversity_3nm,methods_update,"additional year of data, improved methods",Additional year of data
species_diversity_eez,methods_update,"additional year of data, improved methods",Additional year of data
spp_status,methods_update,"additional year of data, improved methods",Additional year of data
spp_trend,methods_update,"additional year of data, improved methods",Additional year of data
ss_spi,methods_update,additional year of data,
ss_wgi,methods_update,additional year of data,additional year of data (2017)
tr_jobs_pct_tourism,methods_update,additional year of data,"two additional years of data, established end point of real data vs. projected, changed code to account for uninhabited regions."
tr_sustainability,methods_update,,
tr_travelwarnings,methods_update,"additional year of data, adapted methods to new data reporting; added Canada's Travel Advise and Advisories data","additional year of data, added Canadian advisories, updated gapfilling methods"
uninhabited,methods_update,new data layer for uninhabited regions (used in several goals),<- is this in low_pop()?
wgi_all,methods_update,additional year data,additional year of data (2017)
