"targets","layer","dir_2012a","fn_2012a","dir_2013a","fn_2013a","dir_2014a","fn_2014a","dir_2015a","fn_2015a","src_2015a","src_2014a","name","description","citation_nature2012","citation_plos2013","fld_value","units","X2013a_source","children","children_notes","disaggregation.function","updated","still.to.do.with.2013a.file.","derive_function","layer_old","X","ingest","dir_whence_2013a","whence_2013a","clip_n_ship_disag","clip_n_ship_disag_description","uninhabited_expect","fn_nature2012","id_num","id_chr","category","year","value_num","value_chr"
"LSP","lsp_prot_area_offshore3nm","ohiprep:globalprep/WDPA_MPA/v2015/data","lsp_protarea_offshore3nm.csv","ohiprep:globalprep/WDPA_MPA/v2015/data","lsp_protarea_offshore3nm.csv","ohiprep:globalprep/WDPA_MPA/v2015/data","lsp_protarea_offshore3nm.csv","ohiprep:globalprep/WDPA_MPA/v2015/data","lsp_protarea_offshore3nm.csv","Y: done","Y: done","Coastal marine protected areas offshore 3km","Coastal protected areas offshore to 3nm from the UN WDPA. 

Data sources:

- United Nations - World Conservation Monitoring Centreâs World Database on Protected Areas (WDPA) through [Protected Planet](http://www.protectedplanet.net)","6H","5.4","area_km2","km^2","2012a","new",,,"U",,,"rny_lsp_prot_area_offshore3nm",,TRUE,,,"raster | area_offshore3nm",,,"lsp_prot_area_offshore3nm.csv","region_id",,,"year","km2",
"MAR","mar_coastalpopn_inland25mi","neptune_data:model/GL-NCEAS-CoastalPopulation_v2013/data","rgn_popsum2005to2015_inland25mi.csv","neptune_data:model/GL-NCEAS-CoastalPopulation_v2013/data","rgn_popsum2005to2015_inland25mi.csv","neptune_data:model/GL-NCEAS-CoastalPopulation_v2013/data","rgn_popsum2005to2015_inland25mi.csv",,,,"N","Coastal population inland 25 miles","Coastal population, defined as the total population inland of 25 miles, extracted from Gridded Population of the World (GPW) Population Density Grid Future Estimates.

Data sources:

- Center for International Earth Science Information Network (CIESIN)/Columbia University 
- CIESIN & CIAT (Center for International Earth Science Information Network (CIESIN)/Columbia University, & Centro Internacional de Agricultura Tropical (CIAT)) (2005). **Gridded Population of the World, Version 3 (GPWv3): Population Density Grid, Future Estimates**. Palisades, NY. [NASA Socioeconomic Data and Applications Center (SEDAC)](http://sedac.ciesin.columbia.edu/data/set/gpw-v3-population-density-future-estimates)",,,"popsum","people",,,,,,,,"mar_coastalpopn_inland25mi",,TRUE,,,"raster","spatial data was extracted for each region. ","NA",,,,,,,
"MAR","mar_harvest_species","neptune_data:model/GL-NCEAS_MAR_v2013a/Revision_Dec202013","mar_harvest_species_lyr.csv","neptune_data:model/GL-NCEAS_MAR_v2013a/Revision_Dec202013","mar_harvest_species_lyr.csv","ohiprep:Global/FAO-Aquaculture_v2012/data","mar_harvest_species_2014a_lyr.csv",,,,"Y: done","Mariculture species harvested","Lookup table for mariculture: species Latin names and species code. 

Data sources:

- [FAO global aquaculture production](http://www.fao.org/fishery/statistics/global-aquaculture-production/en)",,,"species","species name",,,,,,,,"mar_harvest_species",,TRUE,,,"equal","global mariculture species were applied equally to each region.","NA",,,,,,,
"MAR","mar_harvest_tonnes","neptune_data:model/GL-NCEAS_MAR_v2013a/Revision_Dec202013","mar_harvest_tonnes_lyr.csv","neptune_data:model/GL-NCEAS_MAR_v2013a/Revision_Dec202013","mar_harvest_tonnes_lyr.csv","ohiprep:Global/FAO-Aquaculture_v2012/data","mar_harvest_tonnes_2014a_lyr.csv",,,,"Y: done","Mariculture harvest","Mariculture harvest from the FAO. 

Data sources:

- [FAO global aquaculture production](http://www.fao.org/fishery/statistics/global-aquaculture-production/en)",,,"tonnes","tons",,,,,,,,"mar_harvest_tonnes",,TRUE,,,"area_offshore_3nm","global mariculture harvest (tonnes) data were applied to each region after weighting by each region's offshore area to 3nm. ","NA",,,,,,,
"MAR","mar_sustainability_score","neptune_data:model/GL-NCEAS_MAR_v2013a/Revision_Dec202013","mar_sustainability_score_lyr.csv","neptune_data:model/GL-NCEAS_MAR_v2013a/Revision_Dec202013","mar_sustainability_score_lyr.csv","ohiprep:Global/FAO-Aquaculture_v2012/data","mar_sustainability_score_2014a_lyr.csv",,,,"Y: done","Mariculture sustainability score","Mariculture sustainability and mariculture regulations indicated by the Mariculture Sustainability Index (MSI). 

Data sources:

- Trujillo P. (2008). **Using a mariculture sustainability index to rank countriesâ performances**. In: A comparative assessment of biodiversity, fisheries and aquaculture in 53 countriesâ Exclusive Economic Zones, Alder J, Pauly D, editors. _Fisheries Centre Research Report_, vol. 16(7) p. 28â56.",,,"sust_coeff","sustainability",,,,,,,,"mar_sustainability_score",,TRUE,,,"equal","global mariculture sustainability scores were applied equally to each region.","NA",,,,,,,
"MAR","mar_trend_years","neptune_data:model/GL-NCEAS_MAR_v2013a/Revision_Dec202013","mar_trend_years_lyr.csv","neptune_data:model/GL-NCEAS_MAR_v2013a/Revision_Dec202013","mar_trend_years_lyr.csv","ohiprep:Global/FAO-Aquaculture_v2012/data","mar_trend_years_2014a_lyr.csv",,,,"Y: done","Mariculture years used for trend","Mariculture years used for trend",,,"trend_yrs","year string",,,,,,,,"mar_trend_years",,TRUE,,,"equal","global trends were applied equally to each region.","NA",,,,,,,
"NP","np_blast","ohiprep:Global/WRI-ReefsAtRisk_v2013/data","gl_thr_blast_3nm_rgn2013.csv","ohiprep:Global/WRI-ReefsAtRisk_v2013/data","gl_thr_blast_3nm_rgn2013.csv","ohiprep:Global/WRI-ReefsAtRisk_v2013/data","gl_thr_blast_3nm_rgn2013.csv",,,"N","Y: done","Areas of observed blast (dynamite) fishing","The presence of destructive artisanal blast fishing (Reefs at Risk Revisited).

Data sources:

- [Reefs at Risk Revisited](http://www.wri.org/publication/reefs-at-risk-revisited) 
",,,"score","pressure score",,,,,,,,,,TRUE,,,"equal","global scores were applied equally to each region. ","NA",,,,,,,
"NP","np_cyanide","ohiprep:Global/WRI-ReefsAtRisk_v2013/data","gl_thr_poison_3nm_rgn2013.csv","ohiprep:Global/WRI-ReefsAtRisk_v2013/data","gl_thr_poison_3nm_rgn2013.csv","ohiprep:Global/WRI-ReefsAtRisk_v2013/data","gl_thr_poison_3nm_rgn2013.csv",,,"N","Y: done","Areas of observed poison fishing","The presence of destructive artisanal poison (cyanide) fishing (Reefs at Risk Revisited).

Data sources:

- [Reefs at Risk Revisited](www.wri.org/publication/reefs-at-risk-revisited) 
",,,"score","pressure score",,,,,,,,,,TRUE,,,"equal","global scores were applied equally to each region. ","NA",,,,,,,
"NP","np_harvest_product_weight","ohiprep:globalprep/FAO_commodities/v2014_test/data","np_harvest_usd_product-peak_eez2014_test-year-max-2011.csv","ohiprep:globalprep/FAO_commodities/v2014_test/data","np_harvest_usd_product-peak_eez2014_test-year-max-2011.csv","ohiprep:globalprep/FAO_commodities/v2014_test/data","np_harvest_usd_product-peak_eez2014_test-year-max-2011.csv",,,"New data not available","Y: done","Ratio of product peak harvest value (in 2010 USD) divided by sum of all product peak harvest values, per region","Ratio of harvest of of six marine products (coral, fish oil, seaweed and plants, shells, sponges, ornamental fish) from FAO.

Data sources:

- [FAO fisheries statistics](http://www.fao.org/fishery/statistics/global-commodities-production/en)",,,"weight","score",,,,,,,,,,TRUE,,,"equal","global weights were applied equally to each region. ","NA",,,,,,,
"NP","np_harvest_tonnes","ohiprep:globalprep/FAO_commodities/v2014_test/data","np_harvest_tonnes_eez2014_test-year_max_2011.csv","ohiprep:globalprep/FAO_commodities/v2014_test/data","np_harvest_tonnes_eez2014_test-year_max_2011.csv","ohiprep:globalprep/FAO_commodities/v2014_test/data","np_harvest_tonnes_eez2014_test-year_max_2011.csv",,,"New data not available","Y: done","Harvest yield of marine natural products, smoothed","Yield in metric tonnes of six marine products (coral, fish oil, seaweed and plants, shells, sponges, ornamental fish) from FAO.

Data sources:

- [FAO fisheries statistics](http://www.fao.org/fishery/statistics/global-commodities-production/en)","6C","5.51-5.53","tonnes","metric tonnes","new","new",,,"U",,,"rnky_np_harvest_relative",,TRUE,,,"area_offshore_3nm","global harvest (tonnes) was applied to each region after weighting by each region's offshore area to 3nm. ","NA","np_harvest_relative.csv",,"country_id","product","year","tonnes",
"NP","np_harvest_tonnes_relative","ohiprep:globalprep/FAO_commodities/v2014_test/data","np_harvest_tonnes-rel_eez2014_test-year_max_2011.csv","ohiprep:globalprep/FAO_commodities/v2014_test/data","np_harvest_tonnes-rel_eez2014_test-year_max_2011.csv","ohiprep:globalprep/FAO_commodities/v2014_test/data","np_harvest_tonnes-rel_eez2014_test-year_max_2011.csv",,,"New data not available","Y: done","Harvest ratio to peak yeild of marine natural products","Ratio to max yield (tonnes) of product peak for six marine products (coral, fish oil, seaweed and plants, shells, sponges, ornamental fish) from FAO.

Data sources:

- [FAO fisheries statistics](http://www.fao.org/fishery/statistics/global-commodities-production/en)","6C","5.51-5.53","tonnes_rel","score","new","new",,,"U",,,"rnky_np_harvest_relative",,TRUE,,,"equal","global scores were applied equally to each region. ","NA","np_harvest_relative.csv",,"country_id","product","year","tonnes",
"pressures","cc_acid","ohiprep:globalprep/PressuresRegionExtract/data","acid_eez_2011.csv","ohiprep:globalprep/PressuresRegionExtract/data","acid_eez_2012.csv","ohiprep:globalprep/PressuresRegionExtract/data","acid_eez_2013.csv","ohiprep:globalprep/PressuresRegionExtract/data","acid_eez_2014.csv","Y: done",,"Ocean acidification","Modeled distribution of the aragonite saturation state (AAS) of the ocean in pre-industrial (~1870) and modern times (2000-2009) (Halpern et al. 2008).

Data sources:

- Halpern, B.S., Walbridge S., Selkoe, K.A., Kappel, C.V., Micheli, F., D'Agrosa, C., Bruno, J.F., Casey, K.S., Ebert, C., Fox, H.E., Fujita, R., Heinemann, D., Lenihan, H.S., Madin, E.M.P., Perry, M.T., Selig, E.R., Spalding, M., Steneck, R., Watson, R. (2008) **A global map of human impact on marine ecosystems**. _Science_, 3199(5865): 948-952. [doi:10.1126/science.1149345](http://dx.doi.org/10.1126/science.1149345)","7.52","5.56","pressure_score","pressure score","2012a","new",,"NA (BB calculated children)","N",,,"cc_acid",,TRUE,,,"raster | equal",,,"p_cc_acid.csv","region_id",,,,"pressures_score",
"pressures","cc_slr","ohiprep:globalprep/PressuresRegionExtract/data","slr_eez_2015.csv","ohiprep:globalprep/PressuresRegionExtract/data","slr_eez_2015.csv","ohiprep:globalprep/PressuresRegionExtract/data","slr_eez_2015.csv","ohiprep:globalprep/PressuresRegionExtract/data","slr_eez_2015.csv","Y: done",,"Sea level rise","Modeled sea level rise (Nicholls and Cazenave 2010).

Data sources:

- Nicholls R.J. and Cazenave A. (2010). **Sea-level rise and its impact on coastal zones**. _Science_ 328: 1517-1520. [doi:10.1126/science.1185782](http://dx.doi.org/10.1126/science.1185782). 
- [AVISO Satellite Altimetry Data](http://www.aviso.oceanobs.com/en/news/ocean-indicators/mean-sea-level/processing-corrections.html)",,"5.63","pressure_score","pressure score",,"new",,,"Y",,,"cc_slr",,TRUE,,,"raster | equal",,,,,,,,,
"pressures","cc_sst","ohiprep:globalprep/PressuresRegionExtract/data","sst_eez_2012.csv","ohiprep:globalprep/PressuresRegionExtract/data","sst_eez_2013.csv","ohiprep:globalprep/PressuresRegionExtract/data","sst_eez_2014.csv","ohiprep:globalprep/PressuresRegionExtract/data","sst_eez_2015.csv","Y: done",,"Sea surface temperature (SST) anomalies","Modeled sea surface temperature (Halpern et al. 2008) based on temperature anomolies provided by GHRSST and the US National Oceanographic Data Center.

Data sources:

- Halpern, B.S., Walbridge S., Selkoe, K.A., Kappel, C.V., Micheli, F., D'Agrosa, C., Bruno, J.F., Casey, K.S., Ebert, C., Fox, H.E., Fujita, R., Heinemann, D., Lenihan, H.S., Madin, E.M.P., Perry, M.T., Selig, E.R., Spalding, M., Steneck, R., Watson, R. (2008) **A global map of human impact on marine ecosystems**. _Science_, 3199(5865): 948-952. [doi:10.1126/science.1149345](http://dx.doi.org/10.1126/science.1149345)
- [AVHRR Pathfinder Version 5.0 SST data](http://pathfinder.nodc.noaa.gov) 
- Casey, K.S., Brandon, T.B., Cornillon, P., and Evans, R. (2010). **The Past, Present and Future of the AVHRR Pathfinder SST Program**, _Oceanography from Space: Revisited_, eds. V. Barale, J.F.R. Gower, and L. Alberotanza, Springer. [doi:10.1007/978-90-481-8681-5_16](http://dx.doi.org/10.1007/978-90-481-8681-5_16) ","7.58","5.64","pressure_score","pressure score",,"new",,"NA (updated data)","Y",,,"cc_sst",,TRUE,,,"raster | equal",,,"p_cc_sst.csv","region_id",,,,"pressures_score",
"pressures","cc_uv","ohiprep:globalprep/PressuresRegionExtract/data","uv_eez_2015.csv","ohiprep:globalprep/PressuresRegionExtract/data","uv_eez_2015.csv",,,,,,,"UV radiation","Modeled UV radiation (Halpern et al. 2008) based on Erythemal UV Irradiance data provided by GES DISC.

Data sources:

- Halpern, B.S., Walbridge S., Selkoe, K.A., Kappel, C.V., Micheli, F., D'Agrosa, C., Bruno, J.F., Casey, K.S., Ebert, C., Fox, H.E., Fujita, R., Heinemann, D., Lenihan, H.S., Madin, E.M.P., Perry, M.T., Selig, E.R., Spalding, M., Steneck, R., Watson, R. (2008) **A global map of human impact on marine ecosystems**. _Science_, 3199(5865): 948-952. [doi:10.1126/science.1149345](http://dx.doi.org/10.1126/science.1149345)
- [Goddard Earth Sciences Data and Information Services Center (GES DISC)](http://disc.sci.gsfc.nasa.gov/data-holdings/PIP/erythemal_uv_irradiance.shtml)
","7.69","5.76","pressure_score","pressure score",,"new",,"NA (updated data)","Y",,,"cc_uv",,TRUE,,,"raster | equal",,,"p_cc_uv.csv","region_id",,,,"pressures_score",
"pressures","fp_art_hb","neptune_data:model/GL-NCEAS-Pressures_v2013a/data","p_fp_art_hb_disaggregateNature2012.csv","neptune_data:model/GL-NCEAS-Pressures_v2013a/data","p_fp_art_hb_disaggregateNature2012.csv",,,,,"N",,"High bycatch caused by artisanal fishing ","The presence of destructive artisanal blast and poison (cyanide) fishing (Reefs at Risk Revisited).

Data sources:

- [Reefs at Risk Revisited](http://www.wri.org/publication/reefs-at-risk-revisited) ","7.02","5.02","pressures.score","pressure score","2012a","parent",,,"N",,,"fp_art_hb",,TRUE,,,"equal","global pressures data were applied equally to all regions.","NA","p_fp_art_hb.csv","region_id",,,,"pressures_score",
"pressures","fp_art_lb","neptune_data:model/GL-NCEAS-Pressures_v2013a/data","fp_art_lb_2012_NEW.csv","neptune_data:model/GL-NCEAS-Pressures_v2013a/data","fp_art_lb_2013_NEW.csv",,,,,,,"Low bycatch caused by artisanal fishing ","Modeled low bycatch artisanal fishing using non-destructive practices (Halpern et al. 2008) based on FAO fisheries statistics.

Data sources:

- Halpern, B.S., Walbridge S., Selkoe, K.A., Kappel, C.V., Micheli, F., D'Agrosa, C., Bruno, J.F., Casey, K.S., Ebert, C., Fox, H.E., Fujita, R., Heinemann, D., Lenihan, H.S., Madin, E.M.P., Perry, M.T., Selig, E.R., Spalding, M., Steneck, R., Watson, R. (2008) **A global map of human impact on marine ecosystems**. _Science_, 3199(5865): 948-952. [doi:10.1126/science.1149345](http://dx.doi.org/10.1126/science.1149345)
- [FAO fisheries statistics](http://www.fao.org/fishery/statistics/global-capture-production/en)","7.03","5.03","pressure_score","pressure score",,"coastal_pop",,"coastal-pop-weighted","N",,,"fp_art_lb",,TRUE,,,"equal","global pressures data were applied equally to all regions.","NA","p_fp_art_lb.csv","region_id",,,,"pressures_score",
"pressures","fp_com_hb","neptune_data:model/GL-NCEAS-Pressures_v2013a/data","fp_com_hb_2012_NEW.csv","neptune_data:model/GL-NCEAS-Pressures_v2013a/data","fp_com_hb_2013_NEW.csv",,,,,,,"High bycatch caused by commercial fishing ","Modeled destructive commercial fishing practices by 5 different gear types (Halpern et al. 2008).

Data sources:

- Halpern, B.S., Walbridge S., Selkoe, K.A., Kappel, C.V., Micheli, F., D'Agrosa, C., Bruno, J.F., Casey, K.S., Ebert, C., Fox, H.E., Fujita, R., Heinemann, D., Lenihan, H.S., Madin, E.M.P., Perry, M.T., Selig, E.R., Spalding, M., Steneck, R., Watson, R. (2008) **A global map of human impact on marine ecosystems**. _Science_, 3199(5865): 948-952. [doi:10.1126/science.1149345](http://dx.doi.org/10.1126/science.1149345)
","7.11","5.11","pressure_score","pressure score",,"new",,"NA (updated data)","Y",,,"fp_com_hb",,TRUE,,,"equal","global pressures data were applied equally to all regions.",,"p_fp_com_hb.csv","region_id",,,,"pressures_score",
"pressures","fp_com_lb","neptune_data:model/GL-NCEAS-Pressures_v2013a/data","fp_com_lb_2012_NEW.csv","neptune_data:model/GL-NCEAS-Pressures_v2013a/data","fp_com_lb_2013_NEW.csv",,,,,,,"Low bycatch caused by commercial fishing ","Modeled least destructive commercial fishing practices by 2 different gear types (Halpern et al. 2008).

Data sources:

- Halpern, B.S., Walbridge S., Selkoe, K.A., Kappel, C.V., Micheli, F., D'Agrosa, C., Bruno, J.F., Casey, K.S., Ebert, C., Fox, H.E., Fujita, R., Heinemann, D., Lenihan, H.S., Madin, E.M.P., Perry, M.T., Selig, E.R., Spalding, M., Steneck, R., Watson, R. (2008) **A global map of human impact on marine ecosystems**. _Science_, 3199(5865): 948-952. [doi:10.1126/science.1149345](http://dx.doi.org/10.1126/science.1149345)
","7.12","5.12","pressure_score","pressure score",,"new",,"NA (updated data)","Y",,,"fp_com_lb",,TRUE,,,"equal","global pressures data were applied equally to all regions.",,"p_fp_com_lb.csv","region_id",,,,"pressures_score",
"pressures","fp_targetharvest","ohiprep:globalprep/FAO_targetedharvest/data","rgn_fao_targeted_2012a.csv","ohiprep:globalprep/FAO_targetedharvest/data","rgn_fao_targeted_2013a.csv","ohiprep:globalprep/FAO_targetedharvest/data","rgn_fao_targeted_2014a.csv","ohiprep:globalprep/FAO_targetedharvest/data","rgn_fao_targeted_2015a.csv","Y: done","Y: done","Targeted harvest of cetaceans and sea turtles","Targeted harvest of cetaceans and marine turtles, from FAO fisheries data.

Data sources:

- [FAO fisheries statistics](http://www.fao.org/fishery/statistics/global-capture-production/en)","7.63","5.7","score","pressure score",,"parent","2012a file: all parent values assigned to children","NA (updated data)","Y","convert from harvest count to pressures score",,"fp_targetharvest",,TRUE,,,"equal","global pressures data were applied equally to all regions.","NA","p_fp_targetharvest.csv","region_id",,,,"pressures_score",
"pressures","hd_intertidal","neptune_data:model/GL-NCEAS-Pressures_v2013a/data","hd_intertidal_2012_NEW.csv","neptune_data:model/GL-NCEAS-Pressures_v2013a/data","hd_intertidal_2013_NEW.csv",,,,,,,"Coastal population density as a proxy for intertidal habitat destruction","Coastal population, defined as the total population inland of 10 miles, extracted from Gridded Population of the World (GPW) Population Density Grid Future Estimates.

Data sources:

- Center for International Earth Science Information Network (CIESIN)/Columbia University 
- CIESIN & CIAT (Center for International Earth Science Information Network (CIESIN)/Columbia University, & Centro Internacional de Agricultura Tropical (CIAT)) (2005). **Gridded Population of the World, Version 3 (GPWv3): Population Density Grid, Future Estimates**. Palisades, NY. [NASA Socioeconomic Data and Applications Center (SEDAC)](http://sedac.ciesin.columbia.edu/data/set/gpw-v3-population-density-future-estimates)
","7.24","5.25","pressure_score","pressure score",,"coastal_pop",,"coastal-pop-weighted","N",,,"hd_intertidal",,TRUE,,,"population_inland25km","global intertidal pressures were applied to each region after weighting by each region's coastal population.","NA","p_hd_intertidal.csv","region_id",,,,"pressures_score",
"pressures","hd_subtidal_hb","neptune_data:model/GL-NCEAS-Pressures_v2013a/data","p_hd_subtidal_hb_v2013a.csv","neptune_data:model/GL-NCEAS-Pressures_v2013a/data","p_hd_subtidal_hb_v2013a.csv",,,,,"N",,"High bycatch artisanal fishing practices as a proxy for subtidal hard bottom habitat destruction","The presence of destructive artisanal blast fishing (Reefs at Risk Revisited).

Data sources:

- [Reefs at Risk Revisited](http://www.wri.org/publication/reefs-at-risk-revisited) ","7.25","5.26","value","pressure score","2012a","parent",,,"N",,,"hd_subtidal_hb",,TRUE,,,"equal","global pressures data were applied equally to all regions.","NA","p_hd_subtidal_hb.csv","region_id",,,,"pressures_score",
"pressures","hd_subtidal_sb","neptune_data:model/GL-NCEAS-subtidal_softbottom_v2013a/data","po_rgn_hd_subtidal_sb_2012a.csv","neptune_data:model/GL-NCEAS-subtidal_softbottom_v2013a/data","po_rgn_hd_subtidal_sb_2013a.csv",,,,,,,"High bycatch commercial fishing practices as a proxy for subtidal soft bottom habitat destruction","Spatially distributed commercial catch data by fishing gear type, developed by Sea Around Us Project.

Data sources:

- [Sea Around Us Project (SAUP)](http://www.seaaroundus.org/)
","7.26","5.27","pressures.score","pressure score","new","new",,"NA (recalculated soft-bottom area for children)","Y",,,"hd_subtidal_sb",,TRUE,,,"equal","global pressures data were applied equally to all regions.",,"p_hd_subtidal_sb.csv","region_id",,,,"pressures_score",
"pressures","po_chemicals_3nm","neptune_data:model/GL-NCEAS-Pressures_v2013a/data","po_chemicals_3nm_2012_NEW.csv","neptune_data:model/GL-NCEAS-Pressures_v2013a/data","po_chemicals_3nm_2013_NEW.csv",,,,,,,"Land-based chemical pollution","Modeled land-based organic pollution at 1km2 resolution (Halpern et al. 2008).

Data sources:

- Halpern, B.S., Walbridge S., Selkoe, K.A., Kappel, C.V., Micheli, F., D'Agrosa, C., Bruno, J.F., Casey, K.S., Ebert, C., Fox, H.E., Fujita, R., Heinemann, D., Lenihan, H.S., Madin, E.M.P., Perry, M.T., Selig, E.R., Spalding, M., Steneck, R., Watson, R. (2008) **A global map of human impact on marine ecosystems**. _Science_, 3199(5865): 948-952. [doi:10.1126/science.1149345](http://dx.doi.org/10.1126/science.1149345)
","7.06-7.09","5.06-5.07","pressure_score","pressure score",,"new",,"NA (updated data)","Y",,,"po_chemicals_3nm",,TRUE,,,"raster | equal",,"NA","p_po_chemicals_coastal.csv","region_id",,,,"pressures_score",
"pressures","po_nutrients_3nm","neptune_data:model/GL-NCEAS-Pressures_v2013a/data","po_nutrients_3nm_2012_NEW.csv","neptune_data:model/GL-NCEAS-Pressures_v2013a/data","po_nutrients_3nm_2013_NEW.csv",,,,,,,"Coastal nutrient pollution","Modeled coastal nutrient pollution (Halpern et al. 2008).

Data sources:

- Halpern, B.S., Walbridge S., Selkoe, K.A., Kappel, C.V., Micheli, F., D'Agrosa, C., Bruno, J.F., Casey, K.S., Ebert, C., Fox, H.E., Fujita, R., Heinemann, D., Lenihan, H.S., Madin, E.M.P., Perry, M.T., Selig, E.R., Spalding, M., Steneck, R., Watson, R. (2008) **A global map of human impact on marine ecosystems**. _Science_, 3199(5865): 948-952. [doi:10.1126/science.1149345](http://dx.doi.org/10.1126/science.1149345)
","7.51","5.55","pressure_score","pressure score",,"new",,"NA (updated data)","Y",,,"po_nutrients_3nm",,TRUE,,,"raster | equal",,"NA","p_po_nutrients_3nm.csv","region_id",,,,"pressures_score",
"pressures","sp_alien","neptune_data:model/GL-NCEAS-Pressures_v2013a/data","p_sp_alien_2013a.csv","neptune_data:model/GL-NCEAS-Pressures_v2013a/data","p_sp_alien_2013a.csv",,,,,,"N","Alien species","The number and type of invasive and harmful invasive species in each marine ecoregion (Molnar et al. 2008). 

Data sources:

- Molnar, J.L., Gamboa, R.L., Revenga C., Spalding, M. (2008). **Assessing the global threat of invasive species to marine biodiversity**. _Frontiers in Ecology and the Environment_ 6(485). [doi:10.1890/070064](http://dx.doi.org/10.1890/070064)
","7.01","5.01","pressures.score","pressure score","2012a","eez_area",,"disaggregate(csv.in='/Volumes/local_edit/src/toolbox/data/global_2012_nature/layers/p_sp_alien.csv', csv.out = '/Volumes/data_edit/model/GL-NCEAS-Pressures_v2013a/data/p_sp_alien_2013a.csv', fld.value=NA, weight.csv='/Volumes/data_edit/model/GL-NCEAS-OceanRegions_v2013a/data/rgn_area.csv', weight.fld = 'area_km2')","N",,,"sp_alien",,TRUE,,,"equal","global pressures data were applied equally to all regions.",,"p_sp_alien.csv","region_id",,,,"pressures_score",
"pressures","sp_genetic","neptune_data:model/GL-NCEAS-Pressures-GenEsc_v2013a/data","GenEsc_v2012a.csv","neptune_data:model/GL-NCEAS-Pressures-GenEsc_v2013a/data","GenEsc_v2013a.csv",,,,,,"N","Introduced species as a proxy for genetic escapes ","Statistics on native or introduced species from the Mariculture Sustainibility Index (MSI). 

Data sources:

- Trujillo P. (2008). **Using a mariculture sustainability index to rank countriesâ performances**. In: A comparative assessment of biodiversity, fisheries and aquaculture in 53 countriesâ Exclusive Economic Zones, Alder J, Pauly D, editors. _Fisheries Centre Research Report_, vol. 16(7) p. 28â56.","7.22","5.22","pressures.score","pressure score",,"new","no gapfilling: if no mariculture, genetic escapee pressures=0; 2012a: gapfilled Trujillo score*MAR harvest2009; 2013a: gapfilled Trujillo score*MAR harvest2010; ","NA (updated)","Y",,,"sp_genetic",,TRUE,,,"equal","global pressures data were applied equally to all regions.","NA","p_sp_genetic.csv","region_id",,,,"pressures_score",
"pressures","ss_wgi","ohiprep:globalprep/worldbank_wgi/data","rgn_wb_wgi_2012a_inverse.csv","ohiprep:globalprep/worldbank_wgi/data","rgn_wb_wgi_2013a_inverse.csv","ohiprep:globalprep/worldbank_wgi/data","rgn_wb_wgi_2014a_inverse.csv","ohiprep:globalprep/worldbank_wgi/data","rgn_wb_wgi_2015a_inverse.csv",,"Y: done","Weakness of governance indicated with the WGI","Inverse of World Governance Indicators (WGI) six combined scores.

Data sources:

- [Worldwide Governance Indicators (WGI)](http://info.worldbank.org/governance/wgi/index.asp)","7.7","5.77","score","pressure score",,"new","soverignty gapfilling","NA (updated data)","Y","these are wgi_all values; to get ss_wgi must do (1 - wgi_all) after converting from WGI score: min=-2.49, max=1.98 ",,"ss_wgi",,TRUE,"neptune_data:model/GL-WorldBank-WGI_v2011/data","rgn_wb_wgi_2013a_whence.csv","equal","global pressures data were applied equally to all regions.",,"p_ss_wgi.csv","region_id",,,,"pressures_score",
"pressures CP","cp_habitat_extent_rank","neptune_data:model/GL-NCEAS-Habitats_v2013a/data","cp_habitat_extent_rank_NewSeaIce_2012.csv","neptune_data:model/GL-NCEAS-Habitats_v2013a/data","cp_habitat_extent_rank_NewSeaIce.csv",,,,,,"N","Habitat extent * rank, per Coastal Protection habitats","Habitat extent * habitat rank for Coastal Protection habitats: coral, mangrove offshore 1km, mangrove inland 1km, saltmarsh, seaice_shoreline and seagrass","6E",,"extent_rank","rank","2012a","new",,,"N",,,"rnk_cp_habitat_extent_rank",,TRUE,"exclude",,"equal","global pressures data were applied equally to all regions.",,"cp_habitat_extent_rank.csv","region_id",,"habitat",,"pressures.rank",
"pressures CS","cs_habitat_extent","neptune_data:model/GL-NCEAS-Habitats_v2013a/data","cs_habitat_extent.csv","neptune_data:model/GL-NCEAS-Habitats_v2013a/data","cs_habitat_extent.csv",,,,,,"N","Habitat extent * rank, per Carbon Storage habitats","Habitat extent * habitat rank for Carbon Storage habitats: mangrove, saltmarsh and seagrass","6D",,"km2","extent*rank","2012a","new",,,"N",,,"rnk_cs_habitat_extent",,TRUE,"exclude",,"area_offshore_3nm","global habitat extent was applied to each region after weighting by each region's offshore area to 3nm. ",,"cs_habitat_extent.csv","region_id",,"habitat",,"km2",
